-,-,-
-183, -1060, 413
-107, -1103, 281
-243, -1253, 164
-318, -1319, 143
-314, -1298, 101
-344, -1371, 230
-359, -1357, 389
-312, -1333, 381
-342, -1410, 216
-336, -1375, 230
-303, -1335, 290
-343, -1370, 319
-339, -1370, 287
-339, -1343, 287
-292, -1238, 235
-263, -1164, 170
-284, -1153, 112
-300, -1082, 147
-303, -1042, 212
-273, -961, 190
-229, -850, 165
-239, -785, 57
-333, -851, 39
-413, -886, -31
-389, -762, 42
-269, -617, 50
-168, -570, -50
-96, -568, -96
-88, -608, -120
-88, -608, -120
-60, -604, -124
-25, -661, -91
-34, -742, -62
5, -732, -39
52, -708, -47
37, -808, 0
37, -808, 0
-21, -953, -26
5, -918, -65
97, -835, -14
125, -789, -15
125, -789, -15
147, -783, 17
165, -786, -3
152, -792, -8
192, -710, 48
256, -576, 8
256, -576, 8
323, -427, -24
444, -314, 27
479, -338, 103
437, -415, 83
437, -413, 154
437, -413, 154
451, -335, 220
551, -243, 338
640, -264, 424
656, -356, 413
538, -504, 419
408, -681, 461
353, -749, 463
353, -749, 463
383, -792, 512
328, -907, 659
101, -1232, 626
-92, -1389, 522
-137, -1538, 494
-237, -1717, 514
-235, -1769, 385
-188, -1772, 366
-99, -1689, 461
-45, -1593, 397
-,-,-
-201, -914, 399
-193, -922, 503
-211, -928, 387
-183, -954, 339
-183, -954, 339
-202, -1051, 299
-281, -1182, 317
-324, -1283, 470
-325, -1330, 496
-388, -1424, 451
-427, -1489, 455
-431, -1490, 513
-470, -1471, 589
-454, -1400, 569
-400, -1293, 518
-403, -1256, 493
-420, -1198, 429
-377, -1122, 390
-360, -1092, 361
-340, -1014, 345
-283, -915, 362
-279, -925, 403
-361, -1011, 386
-376, -949, 252
-316, -796, 119
-243, -652, 152
-180, -592, 187
-185, -598, 185
-186, -600, 181
-169, -620, 129
-110, -590, 83
-110, -590, 83
-68, -586, 109
-67, -692, 238
-56, -734, 231
-1, -674, 160
56, -628, 171
140, -583, 214
140, -583, 214
140, -638, 244
139, -646, 228
174, -612, 192
242, -541, 167
315, -521, 199
292, -561, 247
254, -582, 215
254, -582, 215
254, -568, 142
299, -531, 201
382, -497, 295
366, -573, 295
261, -702, 264
217, -750, 176
265, -687, 186
265, -687, 186
319, -666, 318
308, -754, 454
251, -874, 406
218, -939, 376
213, -971, 404
